nombre,poblacion,superficie,continente
Afganistán,43844000,652230,Asia
Alandia,30654,1580,Europa
Albania,2363314,28748,Europa
Alemania,83491249,357114,Europa
Andorra,88406,468,Europa
Angola,36170961,1246700,África
Anguilla,16010,91,América del Norte
Antártida,1300,14000000,Antártida
Antigua y Barbuda,103603,442,América del Norte
Arabia Saudí,35300280,2149690,Asia
Argelia,47400000,2381741,África
Argentina,46735004,2780400,América del Sur
Armenia,3076200,29743,Asia
Aruba,107566,180,América del Norte
Australia,27536874,7692024,Oceanía
Austria,9200931,83871,Europa
Azerbaiyán,10241722,86600,Europa
Bahamas,398165,13943,América del Norte
Bahrein,1594654,765,Asia
Bangladesh,169828911,147570,Asia
Barbados,267800,430,América del Norte
Bélgica,11825551,30528,Europa
Belice,417634,22966,América del Norte
Benín,13224860,112622,África
Bermudas,64055,54,América del Norte
Bielorrusia,9109280,207600,Europa
Bolivia,11365333,1098581,América del Sur
Bosnia y Herzegovina,3422000,51209,Europa
Botswana,2359609,582000,África
Brasil,213421037,8515767,América del Sur
Brunei,455500,5765,Asia
Bulgaria,6437360,110879,Europa
Burkina Faso,24070553,272967,África
Burundi,12332788,27834,África
Bután,784043,38394,Asia
Cabo Verde,491233,4033,África
Camboya,17577760,181035,Asia
Camerún,29442327,475442,África
Canadá,41651653,9984670,América del Norte
Caribe Neerlandés,31980,328,América del Norte
Catar,3173024,11586,Asia
Chad,19340757,1284000,África
Chequia,10882341,78865,Europa
Chile,20206953,756102,América del Sur
China,1408280000,9706961,Asia
Chipre,1442614,9251,Europa
Ciudad del Vaticano,882,0,Europa
Colombia,53057212,1141748,América del Sur
Comoras,919901,1862,África
Congo,6142180,342000,África
Congo (Rep. Dem.),112832000,2344858,África
Corea del Norte,25950000,120538,Asia
Corea del Sur,51159889,100210,Asia
Costa Rica,5309625,51100,América del Norte
Costa de Marfil,31719275,322463,África
Croacia,3866233,56594,Europa
Cuba,9748007,109884,América del Norte
Curazao,156115,444,América del Norte
Dinamarca,6011488,43094,Europa
Djibouti,1066809,23200,África
Dominica,67408,751,América del Norte
Ecuador,18103660,276841,América del Sur
Egipto,107271260,1002450,África
El Salvador,6029976,21041,América del Norte
Emiratos Árabes Unidos,11294243,83600,Asia
Eritrea,3607000,117600,África
Eslovenia,2130638,20273,Europa
España,49315949,505992,Europa
Estados Unidos,340110988,9525067,América del Norte
Estonia,1369995,45227,Europa
Etiopía,111652998,1104300,África
Filipinas,114123600,342353,Asia
Finlandia,5650325,338455,Europa
Fiyi,900869,18272,Oceanía
Francia,66351959,543908,Europa
Gabón,2469296,267668,África
Gambia,2422712,10689,África
Georgia,4000921,69700,Asia
Ghana,33742380,238533,África
Gibraltar,38000,6,Europa
Grecia,10400720,131990,Europa
Grenada,109021,344,América del Norte
Groenlandia,56542,2166086,América del Norte
Guadalupe,378561,1628,América del Norte
Guam,153836,549,Oceanía
Guatemala,18079810,108889,América del Norte
Guayana Francesa,292354,83534,América del Sur
Guernsey,64781,78,Europa
Guinea,14363931,245857,África
Guinea Ecuatorial,1668768,28051,África
Guinea-Bisáu,1781308,36125,África
Guyana,772975,214969,América del Sur
Haití,11867032,27750,América del Norte
Honduras,9892632,112492,América del Norte
Hong Kong,7527500,1104,Asia
Hungría,9539502,93028,Europa
India,1417492000,3287263,Asia
Indonesia,284438782,1904569,Asia
Irak,46118793,438317,Asia
Iran,85961000,1648195,Asia
Irlanda,5458600,70273,Europa
Isla de Man,84530,572,Europa
Isla de Navidad,1692,135,Asia
Isla de Norfolk,2188,36,Oceanía
Islandia,391810,103000,Europa
Islas Caimán,84738,264,América del Norte
Islas Cocos o Islas Keeling,593,14,Asia
Islas Cook,15040,236,Oceanía
Islas Faroe,54885,1393,Europa
Islas Malvinas,3662,12173,América del Sur
Islas Marianas del Norte,47329,464,Oceanía
Islas Marshall,42418,181,Oceanía
Islas Pitcairn,35,47,Oceanía
Islas Salomón,750325,28896,Oceanía
Islas Svalbard y Jan Mayen,2530,61399,Europa
Islas Tokelau,2608,12,Oceanía
Islas Turks y Caicos,50828,948,América del Norte
Islas Vírgenes de los Estados Unidos,87146,347,América del Norte
Islas Vírgenes del Reino Unido,39471,151,América del Norte
Israel,10134800,21937,Asia
Italia,58927633,301336,Europa
Jamaica,2825544,10991,América del Norte
Japón,123210000,377930,Asia
Jersey,103267,116,Europa
Jordania,11734000,89342,Asia
Kazajistán,20426568,2724900,Asia
Kenia,53330978,580367,África
Kirguizistán,7281800,199951,Asia
Kiribati,120740,811,Oceanía
Kosovo,1585566,10908,Europa
Kuwait,4881254,17818,Asia
Laos,7647000,236800,Asia
Lesotho,2116427,30355,África
Letonia,1829000,64559,Europa
Líbano,5490000,10452,Asia
Liberia,5248621,111369,África
Libia,7459000,1759540,África
Liechtenstein,40900,160,Europa
Lituania,2894886,65300,Europa
Luxemburgo,681973,2586,Europa
Macao,685900,30,Asia
Macedonia del Norte,1822612,25713,Europa
Madagascar,31727042,587041,África
Malasia,34231700,330803,Asia
Malawi,20734262,118484,África
Maldivas,515132,300,Asia
Mali,22395489,1240192,África
Malta,574250,316,Europa
Marruecos,36828330,446550,África
Martinica,349925,1128,América del Norte
Mauricio,1243741,2040,África
Mauritania,4927532,1030700,África
Mayotte,320901,374,África
México,130575786,1964375,América del Norte
Micronesia,105564,702,Oceanía
Moldavia,2749076,33847,Europa
Mónaco,38423,2,Europa
Mongolia,3544835,1564110,Asia
Montenegro,623327,13812,Europa
Montserrat,4386,102,América del Norte
Mozambique,34090466,801590,África
Myanmar,51316756,676578,Asia
Namibia,3022401,825615,África
Nauru,11680,21,Oceanía
Nepal,29911840,147181,Asia
Nicaragua,6803886,130373,América del Norte
Níger,26312034,1267000,África
Nigeria,223800000,923768,África
Niue,1681,260,Oceanía
Noruega,5606944,386224,Europa
Nueva Caledonia,264596,18575,Oceanía
Nueva Zelanda,5324700,268838,Oceanía
Omán,5343630,309500,Asia
Países Bajos,18100436,41865,Europa
Pakistán,241499431,796095,Asia
Palau,16733,459,Oceanía
Palestina,5483450,6220,Asia
Panamá,4064780,75417,América del Norte
Papúa Nueva Guinea,11781559,462840,Oceanía
Paraguay,6109644,406752,América del Sur
Perú,34350244,1285216,América del Sur
Polinesia Francesa,279500,4167,Oceanía
Polonia,37392000,312679,Europa
Portugal,10749635,92090,Europa
Puerto Rico,3203295,8870,América del Norte
Reino Unido,69281437,244376,Europa
República Centroafricana,6470307,622984,África
República Dominicana,10771504,48671,América del Norte
República Eslovaca,5413813,49037,Europa
Reunión,896175,2511,África
Ruanda,14104969,26338,África
Rumania,19036031,238391,Europa
Rusia,146028325,17098246,Europa
Sahara Occidental,600904,266000,África
Saint Martin,31496,53,América del Norte
Samoa,205557,2842,Oceanía
Samoa Americana,49710,199,Oceanía
San Bartolomé,10562,21,América del Norte
San Cristóbal y Nieves,51320,261,América del Norte
San Marino,34132,61,Europa
San Pedro y Miquelón,5819,242,América del Norte
San Vicente y Granadinas,110872,389,América del Norte
Santa Elena Ascensión y Tristán de Acuña,5651,394,África
Santa Lucía,184100,616,América del Norte
Santo Tomé y Príncipe,209607,964,África
Senegal,18593258,196722,África
Serbia,6567783,77589,Europa
Seychelles,122729,452,África
Sierra Leone,9077691,71740,África
Singapur,6110200,710,Asia
Sint Maarten,41349,34,América del Norte
Siria,25620000,185180,Asia
Somalia,19655000,637657,África
Sri Lanka,21763170,65610,Asia
Suazilandia,1235549,17364,África
Sudáfrica,63100945,1221037,África
Sudán,51662000,1886068,África
Sudán del Sur,15786898,619745,África
Suecia,10605098,450295,Europa
Suiza,9082848,41284,Europa
Surinam,616500,163820,América del Sur
Tailandia,65859640,513120,Asia
Taiwán,23317031,36197,Asia
Tanzania,68153004,947303,África
Tayikistán,10499000,143100,Asia
Tierras Australes y Antárticas Francesas,400,7747,Antártida
Timor Oriental,1391221,14874,Oceanía
Togo,8095498,56785,África
Tonga,100179,747,Oceanía
Trinidad y Tobago,1367764,5130,América del Norte
Túnez,11972169,163610,África
Turkmenistán,7057841,488100,Asia
Turquía,85664944,783562,Europa
Tuvalu,10643,26,Oceanía
Ucrania,32862000,603550,Europa
Uganda,45905417,241550,África
Uruguay,3499451,181034,América del Sur
Uzbekistán,37859698,447400,Asia
Vanuatu,321409,12189,Oceanía
Venezuela,28517000,916445,América del Sur
Vietnam,101343800,331212,Asia
Wallis y Futuna,11620,142,Oceanía
Yemen,32684503,527968,Asia
Zambia,19693423,752612,África
Zimbabue,17073087,390757,África
